<<<<<<< HEAD
binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,uniform corr 2,pd qcut2,outliers 2,semi_constant_1,random label num 3,multicollinearity 1,duplicate_2,constant_1,outliers 1,random choice 7,semi_constant_2,random choice 2,random choice 4,pd qcut3,informative_2,correlated w target 2,informative_1,pd qcut1,standard scaling,min max scaling,multicollinearity 3,correlated w target 1,uniform corr 1,multicollinearity 4,target,corr_feature_class,duplicate_1,random label num 14,multicollinearity 2,constant_2,class
binary_1,Cheryl,Moore,2017-08-09,001-201-853-1853x0048,hgreen@example.com,,Timothyburgh,PR,,0.6802250341555163,Q2,0.545974290749629,q_const_0,,0.1449605373115593,-0.6638599972813359,constant_value,1.067302439495358,Wednesday,q_const_0,Rand Choice 1,North,G4,-0.6638599972813359,-1.1882458655972021,-0.9991017824896424,Low,53799.340196092955,,0.7354897875635095,0.25991419241304287,0.6191147319993072,0.6220713729917858,-0.9042236742875387,-0.46321929553936814,-0.9991017824896424,,0.09932796124254645,constant_value,1
binary_1,Linda,Turner,1954-06-11,(217)566-7916x6966,joanne77@example.net,2414 Mitchell Center,Romanside,,,,Q3,2.5968650892321676,q_const_0,,1.8002069028324914,1.153596854135379,constant_value,-0.9971842761805298,Wednesday,q_const_0,Rand Choice 1,,G5,1.153596854135379,5.64888424823649,1.2466861830450993,High,54135.31411837842,,-0.07034968922656859,,0.66182447084857,0.11652363883605317,2.324369783092482,2.842381673654807,1.2466861830450993,label num hi 7,1.1203031184079149,constant_value,1
binary_1,Erica,Campbell,1985-01-04,694-986-7986,,328 Murphy Forks Suite 369,Port Rebecca,AL,72117,,,3.845868630834588,q_const_0,,1.0229148375152537,0.8593974662590766,constant_value,0.40413090936995527,Sunday,q_const_0,Rand Choice 1,North,,0.8593974662590766,0.9117523637396049,0.9627768269601935,High,,243.95272269424646,1.5559338965120295,,,1.3234447585607696,1.7782165547025084,1.0797283702680804,0.9627768269601935,label num hi 11,1.231148918410777,constant_value,1
,,Gilbert,1926-07-30,,rjackson@example.org,,,,,0.8461345608799569,,2.9651416110344897,q_const_0,label num lo 1,-1.2526885027032848,2.0336452879154674,constant_value,0.6651659103101485,Wednesday,q_const_0,Rand Choice 2,South,,2.0336452879154674,1.5623430575837296,-2.9574409509433037,High,,,-0.9712082903460432,,,-1.1620040104966356,5.451234575139656,5.396435443120602,-2.9574409509433037,label num hi 5,-1.4482817188786645,constant_value,1
binary_2,Seth,Oconnor,1956-02-17,442-360-9105x3293,michael63@example.com,,Amandaburgh,OK,,,Q3,-0.2890631167253799,q_const_0,label num lo 1,,1.05944863351561,constant_value,-0.735726891582271,Sunday,q_const_0,,,G5,1.05944863351561,,1.1411652716579705,High,,289.28509918867604,0.47992869925969023,0.6025683660411836,,0.7294413740034654,2.1539258469951807,0.5464101081634292,1.1411652716579705,,-0.48801960376594505,constant_value,1
,Alan,Nelson,1956-05-08,,,2823 Jackson Path,New Jamesbury,,59066,0.8730470086093043,,2.541841675847055,q_const_0,label num lo 3,0.09593018605794888,2.399635889224372,constant_value,-1.1621360353089318,Saturday,q_const_0,Rand Choice 1,North,G6,2.399635889224372,,2.485477863898728,High,38500.75237442388,155.134276660774,,-0.92066032659053,,0.5917191164723874,4.626787069235546,1.7928758189469618,2.485477863898728,label num hi 2,-0.39137625679279386,constant_value,1
binary_2,Kyle,Richardson,2003-10-15,,lambertlinda@example.com,754 Luis Stream,Colonhaven,,45821,,Q2,4.780475509793506,q_const_0,label num lo 3,2.4928941140356895,-0.747560845179044,constant_value,1.0940961405236875,Saturday,q_const_0,Rand Choice 1,North,,-0.747560845179044,-1.0560939033524148,-0.6479636736717482,Low,,,-1.8857540678812201,-1.8437388122296237,0.19124090802520527,-2.2184672217608115,-1.187224231921867,1.7092677611418199,-0.6479636736717482,label num hi 12,1.9176591860786,constant_value,0
binary_2,Ronald,Humphrey,1922-12-27,,,,,,,,,3.864742087175549,q_const_0,label num lo 1,0.9713957958220942,-0.8182224427035356,constant_value,0.7952975784145572,Monday,q_const_0,Rand Choice 2,East,G3,-0.8182224427035356,2.6848370753483852,-0.8922328125534437,Low,53249.14929273428,,0.1065009851497428,-4.107319813734923,,-0.749438567337799,-1.266374292198878,1.0063853272011505,-0.8922328125534437,label num hi 9,1.2134922028518378,constant_value,0
binary_1,Jennifer,Burns,2010-10-13,,kennethmartinez@example.org,,,,,0.5423880436447709,,5.402216947216723,q_const_0,label num lo 2,,-0.09154666780661158,constant_value,-1.7626269827737178,Monday,q_const_0,Rand Choice 1,,G4,-0.09154666780661158,-0.4180708427737019,-0.7273359834485558,High,56324.3640217357,284.059983421893,,-3.476986673675542,0.2363478862358372,-0.6034030604844266,0.24111056261580832,1.5425159859128392,-0.7273359834485558,,0.5318932656503392,constant_value,0
,,Hernandez,1985-12-26,255.426.3291x44994,hallkevin@example.com,,,,,,,5.478840234284592,q_const_0,label num lo 3,0.3721743186294708,-1.8069333466532713,constant_value,-0.5192070851898402,Friday,q_const_0,Rand Choice 1,East,G1,-1.8069333466532713,0.19075127188676877,0.9753643211025785,Low,,402.4117862156559,,-8.522158207379237,0.20129670946763306,1.7101543027429413,-3.935564389564147,3.2982098945067913,0.9753643211025785,label num hi 10,-1.133719260953924,constant_value,0
