<<<<<<< HEAD
binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,corr_feature_class,multicollinearity 3,informative_1,outliers 2,outliers 1,random label num 11,random choice 2,uniform corr 1,correlated w target 2,duplicate_2,correlated w target 1,multicollinearity 4,random choice 7,target,multicollinearity 2,uniform corr 2,pd qcut1,pd qcut3,multicollinearity 1,class,scaling_combined,semi_constant_1_q_const_0_1,semi_constant_1_q_const_0_2,random choice 4_North,random choice 4_South,random choice 4_West,random label num 3_label num lo 2,random label num 3_label num lo 3,pd qcut2_Q2,pd qcut2_Q3,pd qcut2_Q4,semi_constant_2_q_const_0_1,semi_constant_2_q_const_0_2
0,0.002,0.004,0.001,0.001,0.001,0.112,0.288,0.231,0.549,4.6612852182481515,-0.26020648407155467,-0.9991017824896424,5.326099314990586,0.2719810886075496,0.095,1,0.18857338689486514,-7.589687566745138,-0.6638599972813359,-8.755064206115653,-3.00928276179504,0.104,-0.9042236742875387,0.7889800731872899,0.6981374673519671,0,0.192,0.31378437747995813,1.0,50870.268864969956,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,0.005,0.001,0.001,0.301,0.001,0.001,0.001,0.017,0.001,0.16118076485437016,0.13533235815021505,1.2466861830450993,1.365873326458157,-5.00236686001594,0.078,1,0.39600527355354787,1.8300900255816697,1.153596854135379,1.257799338734875,-0.06468419873336936,0.104,2.324369783092482,-3.9078057238106223,0.41379576125173667,0,0.243,-2.900521604689702,1.0,47490.917377213664,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.001,0.004,0.001,0.001,0.001,0.001,0.001,0.009,0.001,3.740459040444975,-0.7354875438840754,0.9627768269601935,8.159364954818285,-5.00236686001594,0.147,0,0.9517035639802974,-7.589687566745138,0.8593974662590766,4.7243089617284735,-3.00928276179504,0.083,1.7782165547025084,-0.9452599269649394,0.0020293365883726575,0,0.243,-0.25836024273039365,1.0,18674.916732385413,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,0.001,0.22,0.001,0.301,0.001,0.001,0.001,0.013,0.001,6.5007314167979,1.5123840250271114,-2.9574409509433037,4.449517587674192,0.25382955788918327,0.094,0,0.0019501046328625337,4.954028889489728,2.0336452879154674,-8.755064206115653,1.2986977494699523,0.104,5.451234575139656,-0.9210508721527976,0.0020293365883726575,0,0.188,-2.900521604689702,1.0,37891.338115292005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.008,0.005,0.001,0.001,0.001,0.001,0.001,0.009,0.549,4.946560334571739,-1.0161765920520796,1.1411652716579705,1.1238766586075026,-5.00236686001594,0.074,0,0.0019501046328625337,-7.589687566745138,1.05944863351561,2.7969659752841833,-3.00928276179504,0.105,2.1539258469951807,0.1610690593556021,0.0020293365883726575,0,0.243,-0.24178710763920408,1.0,58752.50725546763,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.003,0.22,0.001,0.001,0.001,0.001,0.001,0.01,0.549,0.6301952508500681,-0.48794046423281057,2.485477863898728,-1.006328070186556,-5.00236686001594,0.147,1,0.0019501046328625337,5.952454846950365,2.399635889224372,-8.755064206115653,-0.13176728430004986,0.083,4.626787069235546,0.2466308536562893,0.0020293365883726575,0,0.188,-2.900521604689702,1.0,51980.010173430775,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.076,0.009,0.001,0.001,0.001,0.001,0.001,0.009,0.001,3.0899779162856955,-0.13162485684608138,-0.6479636736717482,1.9274568196427495,-1.2516948342522731,0.085,0,0.19173004614913164,-1.0503194670336016,-0.747560845179044,-8.755064206115653,-0.05655437504543319,0.104,-1.187224231921867,0.07935744576872582,0.6148841979339557,0,0.183,-0.48847044992171956,0.0,51736.43369648707,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.231,0.549,-2.346323836854803,2.0976888558540705,-0.8922328125534437,2.372056393964923,-5.00236686001594,0.147,1,0.267976635256473,-7.589687566745138,-0.8182224427035356,-8.755064206115653,2.230382014572654,0.101,-1.266374292198878,-3.9078057238106223,0.30177420916123787,0,0.183,0.5294605422140796,0.0,47977.74965795384,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.001,0.22,0.001,0.301,0.001,0.001,0.002,0.014,0.001,1.6929142128371826,1.9616001686691527,-0.7273359834485558,3.827865411832233,-0.2111547730423942,0.147,0,0.2167318738975173,-7.589687566745138,-0.09154666780661158,3.821947753137633,1.541798663476181,0.083,0.24111056261580832,-3.9078057238106223,0.7450256569657827,0,0.192,-2.900521604689702,0.0,18674.916732385413,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.006,0.22,0.102,0.001,0.001,0.001,0.001,0.231,0.549,0.2749737872251363,2.1914806614357376,0.9753643211025785,4.3756929259290285,1.7126846596529224,0.094,1,0.17529791541227563,-7.589687566745138,-1.8069333466532713,-2.8482199368277663,2.307339661232089,0.411,-3.935564389564147,-0.33662750718580464,0.2831233038297297,1,0.096,-2.900521604689702,0.0,18674.916732385413,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
